comb_name,comb_num,data_select_time,sp_time,sp_c_1,sp_c_2,sp_c_3,sp_c_4,nac_time,nbc_time,snac_time,kmnc_time,tknc_time,lsc_time,cov_nac,cov_nbc,cov_snac,cov_tknc,cov_kmnc,cov_lsc
,0,0.0,23.697063207626343,0.98056,0.67431,0.37374,0.16693,43.73349690437317,249.77188205718994,246.98013615608215,257.25899147987366,47.57171845436096,138.9004123210907,0.9384148025407346,0.07774095553714444,0.13974040320353492,0.35294117647058826,0.5802681579674123,0.488
bim,1,1.3805105686187744,12.937728881835938,0.98611,0.70851,0.39036,0.17607,41.462543964385986,38.592920541763306,33.14481258392334,41.49567461013794,39.24195909500122,145.6262285709381,0.9378624689312345,0.0735984534658934,0.13214581607290804,0.34866059099696217,0.5766782656724662,0.487
bim,1,0.22921204566955566,12.585752725601196,0.98056,0.70399,0.38628,0.17503,37.336230754852295,36.58888244628906,36.55710029602051,44.334964990615845,43.37123656272888,147.40885400772095,0.9382767191383595,0.07449599558133112,0.13394090030378347,0.34935100800883734,0.5767914940624137,0.482
bim,1,0.16916346549987793,12.71933126449585,0.98611,0.72240,0.39527,0.17693,40.87843465805054,38.84106206893921,38.442190408706665,43.481385707855225,42.92223072052002,151.17549586296082,0.9378624689312345,0.07408174537420602,0.1328362330847832,0.35156034244683787,0.5773137254901961,0.496
bim,1,0.22298812866210938,12.588829517364502,0.98125,0.71163,0.39453,0.17756,40.75403380393982,38.32930016517639,39.76025176048279,43.36481523513794,42.699004888534546,149.00920176506042,0.9378624689312345,0.07346037006351837,0.13228389947528307,0.34948909141121237,0.5766274509803921,0.473
bim,1,0.2121906280517578,12.293896675109863,0.98056,0.72396,0.40217,0.17968,40.395893573760986,34.721291303634644,34.81239557266235,43.09582281112671,43.362613677978516,147.9310703277588,0.9381386357359845,0.0724247445457056,0.13021264843965755,0.34990334161833747,0.5768693731013532,0.482
bim_pgd,2,1.6643753051757812,12.97391414642334,0.98819,0.72049,0.39041,0.17763,40.50081205368042,37.267945289611816,38.211853981018066,44.78600573539734,42.86303520202637,150.34515714645386,0.9368958851146092,0.06255178127589064,0.11170947252140292,0.3474178403755869,0.5726706710853355,0.476
bim_pgd,2,0.2663853168487549,12.80712080001831,0.98056,0.72448,0.38845,0.17706,41.06758904457092,36.74974846839905,37.589694023132324,46.29043173789978,42.06528925895691,145.8677260875702,0.9375863021264844,0.0687655343827672,0.12427506213753108,0.34769400718033694,0.5724595415631041,0.479
bim_pgd,2,0.2274320125579834,12.553246974945068,0.98542,0.70833,0.38876,0.17848,40.55356478691101,37.76097083091736,35.283480644226074,43.90814256668091,41.452096700668335,146.50087571144104,0.9377243855288594,0.07104391052195526,0.12786523059928195,0.34976525821596244,0.5732202430267882,0.473
bim_pgd,2,0.23291850090026855,12.650543451309204,0.98333,0.72170,0.39705,0.18099,41.08401656150818,38.292171478271484,37.436217308044434,45.46339464187622,42.989863872528076,150.01622009277344,0.9377243855288594,0.06793703396851698,0.12220381110190555,0.34824634078983707,0.5731748135874067,0.482
bim_pgd,2,0.22621607780456543,12.789298057556152,0.97500,0.71840,0.39301,0.17731,41.515342712402344,38.44673728942871,38.21065330505371,41.93102550506592,43.348310708999634,145.6608111858368,0.9378624689312345,0.07014636840651754,0.1251035625517813,0.3483844241922121,0.5729573322286661,0.479
bim_pgd_jsma,3,1.7111902236938477,12.364931583404541,0.98403,0.72448,0.39674,0.18424,39.43891954421997,37.65918946266174,37.38381004333496,43.40357851982117,43.27499485015869,150.6543309688568,0.9373101353217344,0.0655896161281414,0.11861364264015466,0.34645125655896164,0.5700223695111848,0.488
bim_pgd_jsma,3,0.26535511016845703,12.333862781524658,0.98194,0.72969,0.39740,0.18294,40.425257205963135,38.117817401885986,38.0435791015625,44.95093774795532,42.607497453689575,153.14459896087646,0.9378624689312345,0.0671775752554543,0.12192764429715548,0.34810825738746204,0.5701264843965755,0.471
bim_pgd_jsma,3,0.33397603034973145,12.39983344078064,0.98681,0.74010,0.39492,0.18285,41.092320680618286,38.199798583984375,37.91681790351868,44.46127772331238,41.454933166503906,144.92861413955688,0.9378624689312345,0.0655896161281414,0.11819939243302954,0.3457608395470864,0.5702543496271748,0.468
bim_pgd_jsma,3,0.31136608123779297,12.369794368743896,0.98681,0.74063,0.39648,0.18568,39.730281352996826,37.912102699279785,37.75191402435303,44.65367555618286,43.6990282535553,149.92449140548706,0.9371720519193593,0.06545153272576636,0.11930405965202982,0.34866059099696217,0.5693340237503453,0.479
bim_pgd_jsma,3,0.27871274948120117,13.059231042861938,0.99236,0.73194,0.39718,0.18407,41.20144605636597,39.44692301750183,36.70516109466553,44.8767032623291,43.167033433914185,151.04469561576843,0.9367578017122342,0.06676332504832919,0.12123722728528032,0.3460370063518365,0.5697370892018779,0.464
bim_pgd_jsma_ead,4,2.1682798862457275,12.35731315612793,0.98333,0.74306,0.42292,0.19984,39.075430393218994,36.85888624191284,37.332143783569336,45.08285140991211,43.71724247932434,148.473562002182,0.9367578017122342,0.06538249102457884,0.11861364264015466,0.34548467274233635,0.5662141673570836,0.471
bim_pgd_jsma_ead,4,0.3279726505279541,12.358594179153442,0.99167,0.75208,0.41879,0.19867,40.742552757263184,38.828672647476196,37.87707877159119,42.78218674659729,42.842676401138306,147.78957653045654,0.9368958851146092,0.057097486882076776,0.10135321734327533,0.3470035901684618,0.5655805026235846,0.454
bim_pgd_jsma_ead,4,0.3219428062438965,12.29917287826538,0.99722,0.74531,0.41875,0.19796,41.07846260070801,36.596004247665405,36.298436403274536,43.41632294654846,43.59661054611206,147.03197503089905,0.9378624689312345,0.05820215410107705,0.10480530240265121,0.34589892294946145,0.5650759458713063,0.47
bim_pgd_jsma_ead,4,0.32393741607666016,12.356467485427856,0.99097,0.75938,0.42361,0.19873,40.83494210243225,37.87985801696777,35.7320601940155,42.79120683670044,41.9807243347168,148.14792490005493,0.9370339685169843,0.06172328086164043,0.11005247169290251,0.34645125655896164,0.5660045567522783,0.481
bim_pgd_jsma_ead,4,0.36949777603149414,12.3777334690094,0.98889,0.75503,0.42135,0.20073,40.918919801712036,38.14884829521179,37.5195209980011,45.41627740859985,42.881919145584106,147.22113728523254,0.9363435515051091,0.059030654515327255,0.10535763601215134,0.34548467274233635,0.5657252140292737,0.48
bim_pgd_jsma_ead_fgsm,5,1.6594383716583252,12.308118104934692,0.98819,0.74635,0.42018,0.20344,41.07239389419556,38.07719683647156,37.623963594436646,42.60760712623596,41.912903785705566,151.54880905151367,0.9364816349074842,0.08609500138083402,0.15907207953603977,0.3445180889257111,0.562503314001657,0.439
bim_pgd_jsma_ead_fgsm,5,0.42443251609802246,12.887984991073608,0.98542,0.75729,0.42960,0.20892,40.684988021850586,37.03858542442322,37.00083327293396,43.87334179878235,42.99800729751587,149.7235722541809,0.9382767191383595,0.08429991714995858,0.15534382767191385,0.3443800055233361,0.5623964374482188,0.451
bim_pgd_jsma_ead_fgsm,5,0.3778374195098877,12.258947610855103,0.99444,0.75868,0.43016,0.20706,41.93740797042847,35.857304096221924,37.222472190856934,43.95236802101135,42.18134117126465,151.1307189464569,0.9386909693454847,0.09569179784589893,0.1784037558685446,0.34217067108533555,0.5628717205191935,0.467
bim_pgd_jsma_ead_fgsm,5,0.49268150329589844,12.806853532791138,0.99931,0.75365,0.42691,0.20791,38.8767147064209,35.0096640586853,35.65328574180603,44.29122495651245,44.774062395095825,123.0975239276886,0.9371720519193593,0.08167633250483292,0.15327257663628832,0.347832090582712,0.5618965755316211,0.444
bim_pgd_jsma_ead_fgsm,5,0.4182419776916504,12.348861694335938,0.99931,0.75313,0.42522,0.20396,42.33189296722412,31.881627082824707,31.439019441604614,38.665871381759644,38.20805335044861,112.57610416412354,0.9368958851146092,0.09106600386633526,0.16777133388566695,0.3460370063518365,0.563283485225076,0.454
