,mnist_LeNet5,mnist_LeNet1,fashion_LeNet1,fashion_resNet20,cifar_vgg16,cifar_resNet20,svhn_LeNet5,svhn_vgg16
NAC,(0.619/0.001),(0.615/0.001),(-0.265/0.200),(0.417/0.038),(-0.371/0.068),(0.339/0.097),(-0.315/0.125),(0.753/0.000)
NBC,(0.251/0.226),(0.666/0.000),(-0.064/0.761),(0.198/0.342),(0.027/0.896),(0.051/0.809),(0.381/0.060),(0.222/0.287)
SNAC,(-0.061/0.771),(0.399/0.048),(-0.378/0.062),(0.224/0.281),(0.033/0.874),(0.073/0.730),(0.381/0.060),(0.290/0.159)
TKNC,(0.465/0.019),(nan/nan),(-0.289/0.162),(0.689/0.000),(-0.826/0.000),(0.148/0.481),(0.286/0.165),(0.645/0.001)
KMNC,(-0.981/0.000),(0.947/0.000),(0.192/0.357),(-0.047/0.823),(-0.981/0.000),(-0.890/0.000),(-0.863/0.000),(-0.945/0.000)
LSC,(0.970/0.000),(0.981/0.000),(0.578/0.002),(0.366/0.072),(-0.741/0.000),(0.499/0.011),(0.600/0.002),(-0.277/0.180)
Pt,(0.981/0.000),(0.961/0.000),(0.502/0.011),(0.973/0.000),(0.957/0.000),(0.981/0.000),(0.726/0.000),(0.981/0.000)
