name,method,time,all,bim,pgd,jsma,ead,fgsm
NBC,cam,161.31323742866516,0.8849499814095907,0.9051250271731988,0.9062499909341568,0.8722500205039978,0.859250009059906,0.8818749785423279
SNAC,cam,129.31024503707886,0.8851500145974569,0.9061250142985955,0.9069999961793656,0.8730000257492065,0.8577499985694885,0.8818749785423279
NAC,cam,164.23259830474854,0.8849999897065572,0.9066249780589715,0.9069999961793656,0.8713750243186951,0.8581249713897705,0.8818749785423279
TKNC,cam,124.44558119773865,0.8834000222268514,0.9041249804431573,0.9053749947488541,0.8703749775886536,0.8565000295639038,0.8806250095367432
LSC,cam,170.0857629776001,0.8843749754014425,0.90437502192799,0.9054999856889481,0.8727499842643738,0.8587499856948853,0.8805000185966492
DeepSpace,cam,124.39008617401123,0.8919500104966573,0.9118750147754326,0.9123750238359207,0.8791249990463257,0.8667500019073486,0.8896250128746033
Random,ALL,170.74976921081543,0.8856999866547994,0.9066249780589715,0.9077500014245743,0.8727499842643738,0.8581249713897705,0.8832499980926514
