name,method,time,rate,cam_max,all,acc_total,p_acc_max
DeepSpace,cam,23.34529232978821,0.2014865451388889,2163,0.7398229649988934,0.8691738060442731,0.85118
NBC,cam,23.652817726135254,0.19047619047619047,5,0.5559361985651776,0.8691738060442731,0.63961
SNAC,cam,22.625248908996582,0.19047619047619047,4,0.5102520397631451,0.8691738060442731,0.58705
NAC,cam,6.855806827545166,0.2857142857142857,5,0.5359571984736249,0.8691738060442731,0.61663
TKNC,cam,9.160249710083008,0.9047619047619048,11,0.5204791239229962,0.8691738060442731,0.59882
LSC,cam,13.513083457946777,0.047,56,0.5808661988703534,0.8691738060442731,0.66830
