label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,1.0,0.8090277777777778,0.4895833333333333,0.2765842013888889
1.0,1.0,0.8663194444444444,0.6814236111111112,0.4525824652777778
2.0,1.0,0.8802083333333334,0.6059027777777778,0.3675130208333333
3.0,1.0,0.8680555555555556,0.6276041666666666,0.3641493055555556
4.0,1.0,0.8611111111111112,0.58984375,0.3677300347222222
5.0,1.0,0.8072916666666666,0.484375,0.2516276041666667
6.0,1.0,0.8263888888888888,0.5130208333333334,0.2756076388888889
7.0,1.0,0.8038194444444444,0.5381944444444444,0.3036024305555556
8.0,1.0,0.8246527777777778,0.5516493055555556,0.2917751736111111
9.0,1.0,0.7986111111111112,0.5217013888888888,0.3034939236111111
