label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,0.9444444444444444,0.6666666666666666,0.3871527777777778,0.18174913194444445
1.0,0.9305555555555556,0.6059027777777778,0.3064236111111111,0.1240234375
2.0,0.8888888888888888,0.6857638888888888,0.4192708333333333,0.19694010416666666
3.0,1.0,0.7274305555555556,0.4327256944444444,0.18359375
4.0,0.8888888888888888,0.7274305555555556,0.4578993055555556,0.2165798611111111
5.0,0.8888888888888888,0.5642361111111112,0.3098958333333333,0.1283637152777778
6.0,1.0,0.7829861111111112,0.5169270833333334,0.2490234375
7.0,0.8263888888888888,0.5295138888888888,0.2912326388888889,0.1325954861111111
8.0,0.9375,0.5486111111111112,0.2630208333333333,0.10416666666666667
9.0,0.8888888888888888,0.5868055555555556,0.2847222222222222,0.12489149305555555
