label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,1.0,0.765625,0.421875,0.2060546875
1.0,1.0,0.7152777777777778,0.36328125,0.1652560763888889
2.0,1.0,0.7534722222222222,0.4600694444444444,0.2328559027777778
3.0,1.0,0.8246527777777778,0.5091145833333334,0.2368706597222222
4.0,1.0,0.78125,0.4535590277777778,0.22862413194444445
5.0,0.9930555555555556,0.7291666666666666,0.4479166666666667,0.21158854166666666
6.0,1.0,0.7413194444444444,0.4231770833333333,0.20963541666666666
7.0,1.0,0.7274305555555556,0.4097222222222222,0.1986762152777778
8.0,1.0,0.7395833333333334,0.3684895833333333,0.1635199652777778
9.0,1.0,0.7534722222222222,0.3949652777777778,0.1865234375
