label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,1.0,0.6944444444444444,0.3723958333333333,0.1560329861111111
1.0,0.9444444444444444,0.7274305555555556,0.4275173611111111,0.20247395833333334
2.0,1.0,0.7361111111111112,0.4322916666666667,0.1804470486111111
3.0,1.0,0.6423611111111112,0.3407118055555556,0.1508246527777778
4.0,0.9930555555555556,0.7621527777777778,0.453125,0.2075737847222222
5.0,1.0,0.6319444444444444,0.3467881944444444,0.16048177083333334
6.0,0.9444444444444444,0.7604166666666666,0.4418402777777778,0.19466145833333334
7.0,0.9444444444444444,0.6423611111111112,0.3910590277777778,0.18131510416666666
8.0,1.0,0.8090277777777778,0.48828125,0.2179904513888889
9.0,1.0,0.7934027777777778,0.5086805555555556,0.2468532986111111
