comb_num,data_select_time,sp_time,sp_c_1,sp_c_2,sp_c_3,sp_c_4,nac_time,nbc_time,snac_time,kmnc_time,tknc_time,lsc_time,cov_nac,cov_nbc,cov_snac,cov_tknc,cov_kmnc,cov_lsc
0,0.0,13.73257851600647,0.76458,0.40868000000000004,0.20615999999999998,0.08452,58.89923310279846,311.0413694381714,290.028265953064,313.6386177539825,57.42364764213562,23.932982683181766,0.3610315186246417,0.08882521489971347,0.09455587392550144,0.5444126074498568,0.6233151862464184,0.29100000000000004
1,0.060689783096313475,13.112779378890991,0.8175000000000001,0.46312600000000004,0.237622,0.09837599999999999,56.973613548278806,36.81875777244568,36.14492053985596,35.86759581565857,55.131402826309206,13.864198589324952,0.36189111747851,0.11189111747851004,0.09770773638968482,0.5507163323782235,0.623334670487106,0.3374
2,0.0652320384979248,13.362194299697876,0.83375,0.48430800000000007,0.25211000000000006,0.10715,64.0807442188263,42.945844650268555,42.99949131011963,43.99388465881348,63.8512300491333,16.016362476348878,0.3613180515759312,0.15673352435530086,0.12779369627507164,0.5532951289398281,0.6245378223495702,0.376
3,0.07808461189270019,13.383853101730347,0.877084,0.533716,0.286084,0.12113199999999999,63.691047286987306,41.974816751480105,42.37457242012024,42.85930395126343,64.6397207736969,13.391148138046265,0.37449856733524356,0.30802292263610315,0.24183381088825215,0.5616045845272206,0.6467825214899714,0.5422
4,0.10380983352661133,13.484850645065308,0.903888,0.5854499999999999,0.317388,0.136176,65.32363805770873,43.1981704711914,43.05031228065491,43.706055068969725,64.97820553779601,14.924087381362915,0.37507163323782233,0.3011461318051576,0.236676217765043,0.5659025787965615,0.6457699140401145,0.5888
5,0.12610774040222167,13.483516454696655,0.9184699999999999,0.6137499999999999,0.33966999999999997,0.14762000000000003,62.950824928283694,39.958894872665404,39.55418658256531,40.257612752914426,62.45398836135864,10.852476263046265,0.37564469914040116,0.31905444126074495,0.2530085959885387,0.5716332378223495,0.6472819484240688,0.6436
6,0.16676697731018067,13.402475929260254,0.9131940000000001,0.626946,0.35283800000000004,0.15527,61.3226535320282,39.79336352348328,39.82049674987793,40.124727392196654,61.36451764106751,10.47018837928772,0.3742120343839542,0.3088825214899713,0.2432664756446991,0.5684813753581662,0.6481057306590259,0.7226
7,0.16346263885498047,13.635138845443725,0.925414,0.6465960000000001,0.36848200000000003,0.164086,61.107321691513064,39.430676507949826,39.52035303115845,40.377616214752194,61.55766110420227,10.449983167648316,0.3759312320916905,0.31790830945558735,0.2530085959885387,0.5693409742120343,0.6471974212034384,0.7276
