label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,1.0,0.9809027777777778,0.7113715277777778,0.4415147569444444
1.0,1.0,0.9444444444444444,0.7317708333333334,0.4954427083333333
2.0,1.0,0.9583333333333334,0.7421875,0.4901258680555556
3.0,1.0,0.9635416666666666,0.7547743055555556,0.5040147569444444
4.0,1.0,0.9618055555555556,0.7296006944444444,0.4546440972222222
5.0,1.0,0.9513888888888888,0.6666666666666666,0.4073350694444444
6.0,1.0,0.953125,0.6818576388888888,0.4233940972222222
7.0,1.0,0.8628472222222222,0.5807291666666666,0.3391927083333333
8.0,1.0,0.9409722222222222,0.7013888888888888,0.4317491319444444
9.0,1.0,0.9618055555555556,0.6953125,0.4361979166666667
