name,method,time,all,ORI,SF,ZM,BR,RT,NS,BL,SR
NBC,cam,32.51520109176636,0.01768016815185547,0.01659494638442993,0.022741258144378662,0.017055988311767578,0.013752281665802002,0.02458512783050537,0.012215733528137207,0.01659494638442993,0.01790100336074829
SNAC,cam,31.3975613117218,0.019168734550476074,0.01820838451385498,0.02289491891860962,0.02105104923248291,0.017363250255584717,0.024738788604736328,0.012676715850830078,0.01674860715866089,0.019668102264404297
NAC,cam,47.41832232475281,0.018246769905090332,0.017593741416931152,0.02696681022644043,0.01767057180404663,0.01720958948135376,0.02596801519393921,0.007759690284729004,0.017363250255584717,0.015442490577697754
TKNC,cam,46.65057420730591,0.021665632724761963,0.01997542381286621,0.025276601314544678,0.02005225419998169,0.018285155296325684,0.027581453323364258,0.017593741416931152,0.019207119941711426,0.02535337209701538
LSC,cam,32.68378806114197,0.018678903579711914,0.01866936683654785,0.02865701913833618,0.02051323652267456,0.01613396406173706,0.01889979839324951,0.01183164119720459,0.015826702117919922,0.01889979839324951
DeepSpace,cam,31.593555212020874,0.03276735544204712,0.03303629159927368,0.04310077428817749,0.0307314395904541,0.027043640613555908,0.03295940160751343,0.02973264455795288,0.028196096420288086,0.03733861446380615
Random,ALL,48.980387687683105,0.017036736011505127,0.01828521490097046,0.022203445434570312,0.02151203155517578,0.01567298173904419,0.019744932651519775,0.0038414597511291504,0.014290094375610352,0.02074366807937622
