name,method,time,all,ORI,SF,ZM,BR,RT,NS,BL,SR
NBC,cam,62.14290118217468,0.01693105697631836,0.013982832431793213,0.020129084587097168,0.0169791579246521,0.013521790504455566,0.027581453323364258,0.01359868049621582,0.013291358947753906,0.016364455223083496
SNAC,cam,47.98212647438049,0.01548093557357788,0.0125998854637146,0.019283950328826904,0.018438875675201416,0.011216938495635986,0.018592476844787598,0.015135228633880615,0.011140167713165283,0.017440080642700195
NAC,cam,54.321751832962036,0.013272106647491455,0.009373068809509277,0.020205914974212646,0.014520645141601562,0.00875842571258545,0.01613396406173706,0.011063337326049805,0.012523055076599121,0.013598620891571045
TKNC,cam,36.002975940704346,0.01574021577835083,0.014443755149841309,0.01674860715866089,0.01536571979522705,0.010602295398712158,0.018669307231903076,0.019053518772125244,0.01306086778640747,0.01797783374786377
LSC,cam,31.531354188919067,0.013541042804718018,0.012369394302368164,0.01889979839324951,0.012215793132781982,0.010679125785827637,0.016364455223083496,0.012138903141021729,0.009142637252807617,0.016518115997314453
DeepSpace,cam,40.287761211395264,0.02796560525894165,0.025814414024353027,0.04087275266647339,0.027197301387786865,0.0230485200881958,0.032344818115234375,0.022587597370147705,0.022203445434570312,0.029655814170837402
Random,ALL,47.24664926528931,0.013089656829833984,0.011601090431213379,0.01728641986846924,0.012138962745666504,0.010755956172943115,0.018208324909210205,0.006760954856872559,0.011216998100280762,0.01674860715866089
