label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,1.0,0.859375,0.5368923611111112,0.2797309027777778
1.0,1.0,0.8784722222222222,0.6579861111111112,0.3930121527777778
2.0,1.0,0.859375,0.5972222222222222,0.3375651041666667
3.0,1.0,0.8732638888888888,0.6380208333333334,0.3458116319444444
4.0,1.0,0.828125,0.5147569444444444,0.2518446180555556
5.0,0.9722222222222222,0.7170138888888888,0.4466145833333333,0.22135416666666666
6.0,1.0,0.7864583333333334,0.4965277777777778,0.2384982638888889
7.0,0.9930555555555556,0.7395833333333334,0.4479166666666667,0.2192925347222222
8.0,1.0,0.8802083333333334,0.5998263888888888,0.3237847222222222
9.0,1.0,0.8454861111111112,0.5590277777777778,0.2919921875
