label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,0.9930555555555556,0.8055555555555556,0.4952256944444444,0.2494574652777778
1.0,1.0,0.7708333333333334,0.4600694444444444,0.2172309027777778
2.0,1.0,0.8454861111111112,0.6046006944444444,0.3489583333333333
3.0,1.0,0.8298611111111112,0.5529513888888888,0.2801649305555556
4.0,0.9930555555555556,0.7795138888888888,0.5282118055555556,0.2764756944444444
5.0,0.9444444444444444,0.7916666666666666,0.4995659722222222,0.2662760416666667
6.0,0.9861111111111112,0.8055555555555556,0.5060763888888888,0.2657335069444444
7.0,1.0,0.8072916666666666,0.5321180555555556,0.2769097222222222
8.0,0.9444444444444444,0.6545138888888888,0.3832465277777778,0.1896701388888889
9.0,0.9930555555555556,0.8263888888888888,0.5164930555555556,0.2608506944444444
