comb_name,comb_num,data_select_time,sp_time,sp_c_1,sp_c_2,sp_c_3,sp_c_4,nac_time,nbc_time,snac_time,kmnc_time,tknc_time,lsc_time,cov_nac,cov_nbc,cov_snac,cov_tknc,cov_kmnc,cov_lsc
,0,0.0,33.76777672767639,0.98819,0.76736,0.46875,0.22897,96.23136281967163,365.7681419849396,362.5472538471222,382.6296350955963,99.4794545173645,525.7004208564758,0.9125932062966031,0.12896989781828225,0.22093344380005522,0.23253244959955813,0.6365506766086716,0.915
bim,1,0.5280687808990479,32.227877140045166,0.98819,0.79080,0.49818,0.25602,85.91934180259705,82.25390362739563,83.000821352005,98.17732501029968,90.6560537815094,402.7305154800415,0.9130074565037283,0.12475835404584369,0.21416735708367854,0.23446561723280862,0.6336483015741508,0.916
bim,1,0.5069077014923096,33.90170931816101,0.98889,0.79670,0.49605,0.25336,87.301509141922,82.82555031776428,81.44259715080261,98.46229910850525,91.08714890480042,399.8941559791565,0.911902789284728,0.12455122894228114,0.2136150234741784,0.23170394918530793,0.6344879867439934,0.915
bim,1,0.5002713203430176,32.16907358169556,0.99236,0.79323,0.50035,0.25791,85.02994012832642,82.26721692085266,80.6025619506836,98.70456433296204,90.49574589729309,401.47658014297485,0.9124551228942281,0.12172051919359293,0.20767743717205192,0.23418945042805855,0.634048605357636,0.911
bim,1,0.5191559791564941,32.08924174308777,0.98264,0.78542,0.49731,0.25602,85.49265360832214,82.15449118614197,80.20392775535583,97.957852602005,89.32254934310913,414.2296586036682,0.912040872687103,0.12068489367578017,0.2051919359293013,0.23446561723280862,0.6339848108257388,0.911
bim,1,0.5122835636138916,32.215683698654175,0.98681,0.78785,0.49865,0.25667,84.26795053482056,81.73666906356812,80.63378834724426,99.56932258605957,91.11690711975098,407.926127910614,0.9117647058823529,0.12544877105771887,0.2148577740955537,0.23418945042805855,0.6338529411764706,0.942
bim_pgd,2,0.6999497413635254,31.99910259246826,0.98333,0.79844,0.50204,0.26426,83.64272975921631,81.3888111114502,81.65427422523499,98.6256492137909,90.76451468467712,400.4059262275696,0.9113504556752279,0.1171637669152168,0.19870201601767468,0.231980115990058,0.6315005523336095,0.91
bim_pgd,2,0.6758725643157959,32.00802516937256,0.98889,0.79288,0.49844,0.26107,84.1281898021698,81.63827180862427,81.80513978004456,97.39927101135254,91.30989503860474,403.94889307022095,0.9116266224799779,0.12489643744821873,0.21333885666942834,0.2332228666114333,0.6317913559790114,0.911
bim_pgd,2,0.6575202941894531,32.11571764945984,0.98264,0.78646,0.49714,0.26112,83.91607427597046,82.24894404411316,81.40762448310852,97.7304892539978,91.026118516922,397.35066866874695,0.9130074565037283,0.12420602043634354,0.2144435238884286,0.23308478320905826,0.6315133940900304,0.918
bim_pgd,2,0.6412279605865479,32.052730321884155,0.98889,0.79097,0.49844,0.26183,84.94977259635925,82.20987129211426,80.99695587158203,98.67821335792542,91.10601496696472,441.6942238807678,0.9134217067108533,0.12172051919359293,0.20974868820767745,0.23418945042805855,0.6317140292736813,0.929
