label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,0.9097222222222222,0.6024305555555556,0.3736979166666667,0.18815104166666666
1.0,0.8263888888888888,0.4982638888888889,0.2625868055555556,0.1274956597222222
2.0,0.7777777777777778,0.53125,0.3328993055555556,0.19661458333333334
3.0,0.8541666666666666,0.6145833333333334,0.4188368055555556,0.23567708333333334
4.0,0.8333333333333334,0.5190972222222222,0.3259548611111111,0.19715711805555555
5.0,0.7777777777777778,0.4774305555555556,0.22265625,0.1111111111111111
6.0,0.8333333333333334,0.6302083333333334,0.4418402777777778,0.2650824652777778
7.0,0.6111111111111112,0.3506944444444444,0.18098958333333334,0.08875868055555555
8.0,1.0,0.6805555555555556,0.3854166666666667,0.19639756944444445
9.0,0.7708333333333334,0.3628472222222222,0.1792534722222222,0.08235677083333333
