label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,0.9236111111111112,0.7204861111111112,0.4835069444444444,0.2669270833333333
1.0,0.8541666666666666,0.6388888888888888,0.3910590277777778,0.2029079861111111
2.0,0.8888888888888888,0.6701388888888888,0.4730902777777778,0.2903645833333333
3.0,1.0,0.84375,0.5876736111111112,0.33203125
4.0,0.9722222222222222,0.7638888888888888,0.5125868055555556,0.3230251736111111
5.0,0.7222222222222222,0.5173611111111112,0.2886284722222222,0.1381293402777778
6.0,0.8888888888888888,0.7256944444444444,0.5338541666666666,0.3597005208333333
7.0,0.7222222222222222,0.4548611111111111,0.2721354166666667,0.1343315972222222
8.0,1.0,0.7465277777777778,0.4700520833333333,0.23404947916666666
9.0,0.7708333333333334,0.4461805555555556,0.2677951388888889,0.12239583333333333
