name,method,time,rate,cam_max,all,acc_total,p_acc_max
DeepSpace,cam,48.27086615562439,0.38383246527777776,5501,0.03564995527267456,0.04804998636245728,0.74193
NBC,cam,25.780120849609375,0.5357142857142857,18,-0.0007250308990478516,0.04804998636245728,-0.01509
SNAC,cam,19.17501664161682,0.23809523809523808,10,0.0010999441146850586,0.04804998636245728,0.02289
NAC,cam,7.912494182586671,0.2857142857142857,6,0.0015749931335449219,0.04804998636245728,0.03278
TKNC,cam,11.487144708633423,0.9047619047619048,11,0.003724992275238037,0.04804998636245728,0.07752
LSC,cam,16.143645524978634,0.214,239,0.00784999132156372,0.04804998636245728,0.16337
