label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,1.0,0.7482638888888888,0.4366319444444444,0.22298177083333334
1.0,1.0,0.6631944444444444,0.3667534722222222,0.1763237847222222
2.0,1.0,0.8298611111111112,0.5581597222222222,0.30859375
3.0,1.0,0.7951388888888888,0.5130208333333334,0.2535807291666667
4.0,1.0,0.7829861111111112,0.5021701388888888,0.2604166666666667
5.0,1.0,0.7899305555555556,0.4852430555555556,0.24055989583333334
6.0,0.9930555555555556,0.7291666666666666,0.4431423611111111,0.22884114583333334
7.0,1.0,0.7413194444444444,0.4921875,0.2550998263888889
8.0,1.0,0.6996527777777778,0.3953993055555556,0.2026909722222222
9.0,1.0,0.6579861111111112,0.3706597222222222,0.18912760416666666
