label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,0.9444444444444444,0.5868055555555556,0.2712673611111111,0.1240234375
1.0,1.0,0.6006944444444444,0.2608506944444444,0.12413194444444445
2.0,0.9444444444444444,0.5850694444444444,0.2738715277777778,0.12076822916666667
3.0,0.8888888888888888,0.5746527777777778,0.2717013888888889,0.11848958333333333
4.0,0.9375,0.5590277777777778,0.2404513888888889,0.1142578125
5.0,0.9444444444444444,0.5954861111111112,0.2595486111111111,0.11176215277777778
6.0,0.8819444444444444,0.5833333333333334,0.2643229166666667,0.11870659722222222
7.0,1.0,0.6006944444444444,0.2725694444444444,0.12977430555555555
8.0,1.0,0.6319444444444444,0.2825520833333333,0.1365017361111111
9.0,0.8888888888888888,0.5607638888888888,0.24869791666666666,0.1271701388888889
