name,method,time,all,ORI,SF,ZM,BR,RT,NS,BL,SR
NBC,cam,156.68742537498474,0.013656258583068848,0.009603559970855713,0.011140167713165283,0.009065747261047363,0.006453573703765869,0.009603619575500488,0.04125690460205078,0.008604764938354492,0.013521790504455566
SNAC,cam,155.32265758514404,0.013982772827148438,0.010909676551818848,0.013675510883331299,0.009834051132202148,0.00845116376876831,0.01129382848739624,0.03134608268737793,0.011985242366790771,0.01436692476272583
NAC,cam,153.2255301475525,0.014030814170837402,0.010064542293548584,0.010909676551818848,0.010679185390472412,0.009834051132202148,0.011908471584320068,0.03257530927658081,0.00975722074508667,0.016518115997314453
TKNC,cam,154.83148860931396,0.012868762016296387,0.010448694229125977,0.010909676551818848,0.007682859897613525,0.007682859897613525,0.01083284616470337,0.034188687801361084,0.009526729583740234,0.011677920818328857
LSC,cam,152.73916745185852,0.01227337121963501,0.010679185390472412,0.01129382848739624,0.009987711906433105,0.008374333381652832,0.010448694229125977,0.02612173557281494,0.008604764938354492,0.012676715850830078
DeepSpace,cam,141.65186285972595,0.026227355003356934,0.02051323652267456,0.024277865886688232,0.021050989627838135,0.014674246311187744,0.024124205112457275,0.06023359298706055,0.017593681812286377,0.027350962162017822
Random,ALL,141.31402564048767,0.01245582103729248,0.01206207275390625,0.010525524616241455,0.010064542293548584,0.008220672607421875,0.008681654930114746,0.03034728765487671,0.010679125785827637,0.009065747261047363
