name,method,time,all,ORI,SF,ZM,BR,RT,NS,BL,SR
NBC,cam,144.51649713516235,0.020282745361328125,0.014827907085418701,0.0159035325050354,0.01613396406173706,0.013521850109100342,0.01997542381286621,0.04893976449966431,0.014827847480773926,0.018131494522094727
SNAC,cam,157.17783880233765,0.020273149013519287,0.0159035325050354,0.015288889408111572,0.017440080642700195,0.012523055076599121,0.01690232753753662,0.04563617706298828,0.017209529876708984,0.02128148078918457
NAC,cam,158.1301453113556,0.019888997077941895,0.016364455223083496,0.01651817560195923,0.014597415924072266,0.01313769817352295,0.017516911029815674,0.046250760555267334,0.014751017093658447,0.01997542381286621
TKNC,cam,150.413339138031,0.016719818115234375,0.013982772827148438,0.012523055076599121,0.01106327772140503,0.009910881519317627,0.015212059020996094,0.04233253002166748,0.011601090431213379,0.01713275909423828
LSC,cam,144.3915343284607,0.018563687801361084,0.0159035325050354,0.018054723739624023,0.012830376625061035,0.011831581592559814,0.01544255018234253,0.03680086135864258,0.014443755149841309,0.023202180862426758
DeepSpace,cam,144.1957929134369,0.03243124485015869,0.027197301387786865,0.02842658758163452,0.025276601314544678,0.018746137619018555,0.02896440029144287,0.07221883535385132,0.022280216217041016,0.03633987903594971
Random,ALL,150.42434644699097,0.01897662878036499,0.015212059020996094,0.0159035325050354,0.013521790504455566,0.013214528560638428,0.015058398246765137,0.04648125171661377,0.013598620891571045,0.018822968006134033
