label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,0.9444444444444444,0.5659722222222222,0.3133680555555556,0.1340060763888889
1.0,0.9861111111111112,0.6770833333333334,0.3328993055555556,0.15223524305555555
2.0,0.8333333333333334,0.5190972222222222,0.2838541666666667,0.12879774305555555
3.0,0.9166666666666666,0.6770833333333334,0.3511284722222222,0.16796875
4.0,0.8888888888888888,0.5989583333333334,0.3524305555555556,0.16590711805555555
5.0,1.0,0.6701388888888888,0.2977430555555556,0.12760416666666666
6.0,0.9375,0.625,0.3420138888888889,0.1611328125
7.0,1.0,0.5833333333333334,0.2764756944444444,0.12890625
8.0,1.0,0.6440972222222222,0.3077256944444444,0.13368055555555555
9.0,1.0,0.6128472222222222,0.3020833333333333,0.13671875
