name,method,time,all,bim,pgd,jsma,ead,fgsm
NBC,cam,88.759432554245,0.5491369883529842,0.5963750148657709,0.5933749728137627,0.5690000057220459,0.4348750114440918,0.5520899295806885
SNAC,cam,83.10225582122803,0.54958789749071,0.5917499924544245,0.592000012868084,0.5491250157356262,0.4651249945163727,0.5499431490898132
NAC,cam,85.68722009658813,0.5149928848259151,0.558999981964007,0.557874982827343,0.5217499732971191,0.41449999809265137,0.5219093561172485
TKNC,cam,85.61827731132507,0.5360104362480342,0.5817500019911677,0.579500024789013,0.5511249899864197,0.4246250092983246,0.5431241393089294
LSC,cam,86.11083173751831,0.5090308110229671,0.5593750143889338,0.5597500257426873,0.5268750190734863,0.3871249854564667,0.5120596289634705
DeepSpace,cam,85.85959649085999,0.5522934119217098,0.6008749867323786,0.5997499875957146,0.565750002861023,0.43424999713897705,0.5609294176101685
Random,ALL,84.16649508476257,0.5366867701523006,0.5809999967459589,0.5842499785358086,0.5481250286102295,0.43062499165534973,0.5394620299339294
