name,method,time,all,bim,pgd,jsma,ead,fgsm
NBC,cam,15.049933195114136,0.7830565980402753,0.8239999804645777,0.8324999809265137,0.7510632872581482,0.7297499775886536,0.7779445052146912
SNAC,cam,14.806687831878662,0.7524254730669782,0.785124996677041,0.7941250205039978,0.7353014945983887,0.7067499756813049,0.740810215473175
NAC,cam,27.830915689468384,0.7781806400744244,0.8210000190883875,0.8274999856948853,0.7531899213790894,0.721875011920929,0.7673168182373047
TKNC,cam,29.475906133651733,0.7763552478281781,0.8207499776035547,0.8293750286102295,0.7470602989196777,0.7083749771118164,0.7761940360069275
LSC,cam,32.5091598033905,0.7787057569948956,0.8067499790340662,0.8138750195503235,0.7674505710601807,0.7388749718666077,0.7665666341781616
DeepSpace,cam,31.104523420333862,0.7702790311304852,0.8131249938160181,0.8231250047683716,0.748561441898346,0.7129999995231628,0.753563404083252
Random,ALL,30.97954821586609,0.7923834732500836,0.8282499704509974,0.8364999890327454,0.7668251395225525,0.7407500147819519,0.7895724177360535
