label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,1.0,0.9184027777777778,0.6575520833333334,0.4063585069444444
1.0,1.0,0.8871527777777778,0.6753472222222222,0.4625651041666667
2.0,1.0,0.9184027777777778,0.7165798611111112,0.4710286458333333
3.0,1.0,0.9114583333333334,0.6957465277777778,0.4562717013888889
4.0,1.0,0.9201388888888888,0.6983506944444444,0.4505208333333333
5.0,1.0,0.890625,0.6206597222222222,0.3586154513888889
6.0,1.0,0.9010416666666666,0.6393229166666666,0.3871527777777778
7.0,1.0,0.8263888888888888,0.5364583333333334,0.3161892361111111
8.0,1.0,0.890625,0.6297743055555556,0.3851996527777778
9.0,1.0,0.9079861111111112,0.6427951388888888,0.4095052083333333
