name,method,time,all,ORI,SF,ZM,BR,RT,NS,BL,SR
NBC,cam,93.46157717704773,0.02665001153945923,0.028600037097930908,0.017799973487854004,0.024599969387054443,0.014999985694885254,0.020200014114379883,0.031199991703033447,0.037199974060058594,0.03859996795654297
SNAC,cam,92.80288243293762,0.02272498607635498,0.019200026988983154,0.025199949741363525,0.024199962615966797,0.007799983024597168,0.0153999924659729,0.03299999237060547,0.02899998426437378,0.02799999713897705
NAC,cam,89.18843460083008,0.026825010776519775,0.02920001745223999,0.024199962615966797,0.02199995517730713,0.010399997234344482,0.025399982929229736,0.0382000207901001,0.03299999237060547,0.032199978828430176
TKNC,cam,92.64220643043518,0.026449978351593018,0.033399999141693115,0.026999950408935547,0.02340000867843628,0.008799970149993896,0.01819998025894165,0.025600016117095947,0.04100000858306885,0.03419995307922363
LSC,cam,90.16391229629517,0.026024997234344482,0.01780003309249878,0.022399961948394775,0.02899998426437378,0.013799965381622314,0.01940000057220459,0.024200022220611572,0.03979998826980591,0.041799962520599365
DeepSpace,cam,93.2419786453247,0.040175020694732666,0.04700005054473877,0.03259998559951782,0.033199965953826904,0.029999971389770508,0.03100001811981201,0.03939998149871826,0.05299997329711914,0.05519998073577881
Random,ALL,92.24291372299194,0.028124988079071045,0.03240001201629639,0.021599948406219482,0.022599995136260986,0.014199972152709961,0.02319997549057007,0.02399998903274536,0.04100000858306885,0.04599994421005249
