acc_1000,acc_2000,acc_3000,acc_4000,acc_5000,acc_6000,name,acc_total,p_acc_1000,p_acc_2000,p_acc_3000,p_acc_4000,p_acc_5000,p_acc_6000
0.0965999960899353,0.10217499732971191,0.10577499866485596,0.10920000076293945,0.11105000972747803,0.11327499151229858,NBC_cam,0.13142502307891846,0.73502,0.77744,0.80483,0.83089,0.84497,0.86190
0.09547501802444458,0.10387498140335083,0.10540002584457397,0.10920000076293945,0.11124998331069946,0.11277502775192261,SNAC_cam,0.13142502307891846,0.72646,0.79037,0.80198,0.83089,0.84649,0.85809
0.09675002098083496,0.10234999656677246,0.10677498579025269,0.10837501287460327,0.11035001277923584,0.11192500591278076,NAC_cam,0.13142502307891846,0.73616,0.77877,0.81244,0.82461,0.83964,0.85163
0.09577500820159912,0.1034500002861023,0.10545003414154053,0.109375,0.11067497730255127,0.11210000514984131,TKNC_cam,0.13142502307891846,0.72874,0.78714,0.80236,0.83222,0.84211,0.85296
0.10224997997283936,0.1058499813079834,0.10830003023147583,0.11120003461837769,0.11292499303817749,0.11440002918243408,LSC_cam,0.13142502307891846,0.77801,0.80540,0.82404,0.84611,0.85924,0.87046
0.10297501087188721,0.10989999771118164,0.1134750247001648,0.11607497930526733,0.1194000244140625,0.1193000078201294,DeepSpace_cam,0.13142502307891846,0.78353,0.83622,0.86342,0.88320,0.90850,0.90774
0.09450000524520874,0.10145002603530884,0.10637497901916504,0.10922503471374512,0.1096000075340271,0.11299997568130493,Random_ALL,0.13142502307891846,0.71904,0.77192,0.80940,0.83108,0.83394,0.85981
