name,method,time,all,bim,pgd,jsma,ead,fgsm
NBC,cam,153.87591004371643,0.8563443517778069,0.8963795222807676,0.8971477914019488,0.8706904894133913,0.7591472268104553,0.8583749002827972
SNAC,cam,152.13496661186218,0.884898433694616,0.9187073626089841,0.9198118019266985,0.8949390298148501,0.8040910363197327,0.8869615859402984
NAC,cam,152.16227746009827,0.8716700768563896,0.9147219576407224,0.9152501392527483,0.876260424258362,0.7737923860549927,0.8783856100453704
TKNC,cam,153.23187351226807,0.8675620055291802,0.905982903437689,0.9067992139025591,0.8741476780196535,0.7832517027854919,0.8676292366399139
LSC,cam,153.2203767299652,0.8745274043176323,0.9064150371123105,0.9078555870219134,0.8809660917540896,0.8047632575035095,0.8726198143376678
DeepSpace,cam,153.09120631217957,0.9112975096795708,0.9373379268217832,0.9386823940440081,0.919283593299042,0.8469701409339905,0.9142400092496246
Random,ALL,151.77390336990356,0.8928066587541252,0.9258139051962644,0.9273024368449114,0.9021415358802187,0.8163353204727173,0.8924366301907867
