name,method,time,all,bim,pgd,jsma,ead,fgsm
NBC,cam,141.46328210830688,0.8784750096383505,0.9010000281268731,0.9018750100076431,0.8658750057220459,0.8500000238418579,0.8736249804496765
SNAC,cam,141.02376174926758,0.8802750103059225,0.9021250061923638,0.9026250152528519,0.8682500123977661,0.8511250019073486,0.8772500157356262
NAC,cam,140.22523999214172,0.8799750201287679,0.9013750009471551,0.9020000009477371,0.8682500123977661,0.8523749709129333,0.8758749961853027
TKNC,cam,144.41756176948547,0.8804249755921774,0.9020000152522698,0.9028749971330399,0.8679999709129333,0.8525000214576721,0.8767499923706055
LSC,cam,138.37988567352295,0.8815000049653463,0.9030000023776665,0.9037499933183426,0.8694999814033508,0.8538749814033508,0.8773750066757202
DeepSpace,cam,149.302063703537,0.8816999785485677,0.9036250166827813,0.9041250257432694,0.8703749775886536,0.8532500267028809,0.8771250247955322
Random,ALL,129.37878155708313,0.878899990755599,0.9030000023776665,0.9026250152528519,0.8656250238418579,0.8495000004768372,0.8737499713897705
