name,method,time,rate,cam_max,all,acc_total,p_acc_max
DeepSpace,cam,26.58970355987549,0.2878146701388889,3089,0.8920249931397848,0.9045000068726948,0.98621
NBC,cam,347.2225089073181,0.21991404011461319,102,0.8776500217500143,0.9045000068726948,0.97032
SNAC,cam,318.8976445198059,0.5744985673352435,65,0.8772749893250875,0.9045000068726948,0.96990
NAC,cam,59.34774827957153,0.5802292263610315,23,0.8765749923768453,0.9045000068726948,0.96913
TKNC,cam,135.73707938194275,0.6117478510028653,135,0.8777999870362692,0.9045000068726948,0.97048
LSC,cam,37.71878147125245,0.341,341,0.8789499990525655,0.9045000068726948,0.97175
