label,cov_rate_0,cov_rate_1,cov_rate_2,cov_rate_3
0.0,0.9930555555555556,0.7100694444444444,0.4058159722222222,0.18641493055555555
1.0,1.0,0.640625,0.3567708333333333,0.1576605902777778
2.0,0.9930555555555556,0.7465277777777778,0.46875,0.2241753472222222
3.0,1.0,0.8142361111111112,0.5295138888888888,0.2510850694444444
4.0,1.0,0.7256944444444444,0.4535590277777778,0.2016059027777778
5.0,1.0,0.7447916666666666,0.4765625,0.23133680555555555
6.0,0.9444444444444444,0.7083333333333334,0.40625,0.19856770833333334
7.0,1.0,0.7621527777777778,0.4470486111111111,0.2124565972222222
8.0,1.0,0.6423611111111112,0.3385416666666667,0.1480034722222222
9.0,1.0,0.7829861111111112,0.4379340277777778,0.20345052083333334
