name,method,time,rate,cam_max,all,acc_total,p_acc_max
DeepSpace,cam,61.38027048110962,0.3877821180555555,5145,0.8993679380510002,0.9628834819886832,0.93404
NBC,cam,2357.5156280994415,0.188069594034797,937,0.7602050995919853,0.9628834819886832,0.78951
SNAC,cam,1368.3719747066498,0.9113504556752279,825,0.7636973953340203,0.9628834819886832,0.79314
NAC,cam,405.0835301876068,0.9189450428058548,209,0.6963527894113213,0.9628834819886832,0.72320
TKNC,cam,1804.2694871425629,0.2566970450151892,820,0.7488623356912285,0.9628834819886832,0.77773
LSC,cam,1306.8777401447294,0.917,929,0.7325072383973747,0.9628834819886832,0.76074
