name,rate,t_collection,cam_t_selection,cam_max,ctm_t_selection
NBC,,330.17210817337036,139.86732029914856,215,
SNAC,,330.17210817337036,51.94940662384033,140,
NAC,,86.15770554542542,7.6918418407440186,24,
TKNC,,86.15664505958557,92.76918506622314,127,
LSC,,83.21959161758423,0.051064491271972656,951,
DeepSpace_cam,0.32047526041666663,0.0,52.70918130874634,3535,
