name,method,time,rate,cam_max,all,acc_total,p_acc_max
DeepSpace,cam,52.709181308746345,0.32047526041666663,3535,0.06490004062652588,0.09172499179840088,0.70755
NBC,cam,470.0394284725189,0.4498567335243553,215,0.02467501163482666,0.09172499179840088,0.26901
SNAC,cam,382.1215147972107,0.37822349570200575,140,0.023025035858154297,0.09172499179840088,0.25102
NAC,cam,93.84954738616943,0.3853868194842407,24,0.007925033569335938,0.09172499179840088,0.08640
TKNC,cam,178.92583012580872,0.6060171919770774,127,0.020799994468688965,0.09172499179840088,0.22676
LSC,cam,83.27065610885622,0.782,951,0.040175020694732666,0.09172499179840088,0.43799
