comb_name,comb_num,data_select_time,sp_time,sp_c_1,sp_c_2,sp_c_3,sp_c_4,nac_time,nbc_time,snac_time,kmnc_time,tknc_time,lsc_time,cov_nac,cov_nbc,cov_snac,cov_tknc,cov_kmnc,cov_lsc
,0,0.0,13.154663324356079,0.69167,0.30660,0.13112,0.05023,3.865797519683838,25.28804898262024,25.092148780822754,25.401581525802612,3.893444061279297,50.415120363235474,0.8798449612403101,0.0755813953488372,0.13953488372093023,0.6627906976744186,0.6329108527131783,0.193
SF,1,0.19105267524719238,11.171144247055054,0.90278,0.51823,0.24683,0.09888,3.8549978733062744,3.6502251625061035,3.572756290435791,3.7516167163848877,4.008063077926636,46.40090298652649,0.8875968992248062,0.10465116279069768,0.14728682170542637,0.6782945736434108,0.6341821705426357,0.356
SF,1,0.0819084644317627,12.173162460327148,0.90486,0.50295,0.24015,0.09488,3.923530101776123,3.5950794219970703,3.3389761447906494,3.620366096496582,3.8911802768707275,47.63336229324341,0.8837209302325582,0.11046511627906977,0.1511627906976744,0.686046511627907,0.6337984496124031,0.345
SF,1,0.05186605453491211,11.505463123321533,0.91597,0.50486,0.23516,0.09275,3.8383467197418213,3.4736695289611816,3.5313429832458496,3.742161512374878,3.995173454284668,45.489107847213745,0.8914728682170543,0.11627906976744186,0.17054263565891473,0.6782945736434108,0.6338488372093023,0.347
SF,1,0.04396843910217285,11.506838321685791,0.90069,0.51319,0.24076,0.09520,3.9364049434661865,3.307229995727539,3.2593307495117188,3.681565999984741,3.91314435005188,47.861823081970215,0.8914728682170543,0.12209302325581395,0.16666666666666666,0.6821705426356589,0.6344457364341085,0.343
SF,1,0.07274699211120605,11.210021734237671,0.91458,0.53472,0.25208,0.09765,3.786822557449341,3.4348678588867188,3.481635808944702,3.6489553451538086,3.857933759689331,47.237318992614746,0.8875968992248062,0.10852713178294573,0.15503875968992248,0.6937984496124031,0.6341046511627907,0.349
SF_ZM,2,0.18526721000671387,11.31264853477478,0.94306,0.61441,0.30634,0.12510,3.8000402450561523,3.493285655975342,3.6266815662384033,3.743616819381714,3.9561169147491455,47.97088670730591,0.8953488372093024,0.15891472868217055,0.21705426356589147,0.6782945736434108,0.6347093023255814,0.389
SF_ZM,2,0.09271550178527832,11.419537782669067,0.96042,0.60990,0.30234,0.12380,3.9396579265594482,3.6549177169799805,3.5596044063568115,3.659336805343628,3.996258020401001,47.55792164802551,0.8953488372093024,0.16472868217054262,0.22868217054263565,0.6744186046511628,0.6336240310077519,0.377
SF_ZM,2,0.08373308181762695,11.381773948669434,0.94653,0.59028,0.30326,0.12594,3.893758535385132,3.5605499744415283,3.44781494140625,3.764472484588623,4.084097862243652,46.36193108558655,0.8992248062015504,0.16279069767441862,0.2364341085271318,0.689922480620155,0.6336976744186047,0.383
SF_ZM,2,0.06499767303466797,11.286266565322876,0.94792,0.61181,0.30404,0.12579,4.009742259979248,3.4059255123138428,3.306852102279663,3.7093422412872314,4.066715240478516,46.17754817008972,0.8914728682170543,0.14147286821705427,0.18992248062015504,0.6976744186046512,0.632922480620155,0.384
