comb_name,comb_num,data_select_time,sp_time,sp_c_1,sp_c_2,sp_c_3,sp_c_4,nac_time,nbc_time,snac_time,kmnc_time,tknc_time,lsc_time,cov_nac,cov_nbc,cov_snac,cov_tknc,cov_kmnc,cov_lsc
,0,0.0,29.45978355407715,1.00000,0.91267,0.65091,0.38600,12.66195011138916,47.17921304702759,46.74830675125122,47.92908978462219,12.720795154571533,198.60175037384033,0.9069767441860465,0.1744186046511628,0.3372093023255814,0.872093023255814,0.49231007751937983,0.327
SF,1,1.7153310775756836,29.705013751983643,1.00000,0.93507,0.67396,0.40744,12.807417392730713,11.926939487457275,11.74732756614685,12.604322910308838,12.866860151290894,185.56722784042358,0.9069767441860465,0.17248062015503876,0.3333333333333333,0.875968992248062,0.48975968992248065,0.341
SF,1,0.537738561630249,30.880555629730225,1.00000,0.93351,0.66888,0.40795,12.323468923568726,12.028846979141235,11.91767954826355,12.481506586074829,12.487671852111816,197.1963815689087,0.9069767441860465,0.17829457364341086,0.3449612403100775,0.875968992248062,0.4890813953488372,0.335
SF,1,0.6047036647796631,30.781031847000122,1.00000,0.93160,0.67235,0.40716,12.960057735443115,12.287216901779175,12.079772710800171,12.947120666503906,12.890416383743286,183.46479678153992,0.9069767441860465,0.16472868217054262,0.3178294573643411,0.875968992248062,0.4889031007751938,0.342
SF,1,0.6037795543670654,31.343453407287598,1.00000,0.93073,0.67114,0.40770,12.755213737487793,12.184170007705688,12.182061433792114,12.941202402114868,12.329622030258179,187.04686307907104,0.9069767441860465,0.16085271317829458,0.31007751937984496,0.872093023255814,0.4908682170542636,0.331
SF,1,0.609710693359375,33.06652235984802,1.00000,0.93472,0.67500,0.40803,12.299449443817139,12.11156415939331,12.19992184638977,12.008410215377808,12.203537940979004,184.27473139762878,0.9069767441860465,0.16279069767441862,0.32170542635658916,0.875968992248062,0.4907093023255814,0.336
SF_ZM,2,2.397223711013794,31.20625877380371,1.00000,0.94375,0.68893,0.42172,12.870963096618652,12.21631932258606,12.020190238952637,12.363390445709229,12.740684747695923,191.76284337043762,0.9069767441860465,0.15891472868217055,0.3062015503875969,0.872093023255814,0.48810465116279067,0.349
SF_ZM,2,0.7746188640594482,29.95769715309143,1.00000,0.93194,0.67817,0.41474,12.621233701705933,11.759783744812012,11.978590250015259,12.398303747177124,12.241329908370972,186.45538425445557,0.9069767441860465,0.15310077519379844,0.29457364341085274,0.872093023255814,0.48698062015503873,0.348
SF_ZM,2,0.7540678977966309,29.87760877609253,1.00000,0.93333,0.67813,0.41398,12.142852544784546,12.339653968811035,12.2473886013031,12.25069546699524,12.716065883636475,187.05303478240967,0.9069767441860465,0.15503875968992248,0.29844961240310075,0.875968992248062,0.4872170542635659,0.35
SF_ZM,2,0.8653981685638428,30.97567081451416,1.00000,0.93455,0.68225,0.41574,11.951357364654541,12.094786643981934,11.750570297241211,12.411821842193604,12.716932773590088,187.78516507148743,0.9031007751937985,0.16085271317829458,0.31007751937984496,0.8798449612403101,0.4885658914728682,0.353
SF_ZM,2,0.8590893745422363,32.60160493850708,1.00000,0.93924,0.68103,0.41557,12.284867763519287,11.975377798080444,12.165181875228882,12.344991683959961,12.317431688308716,189.06315422058105,0.9031007751937985,0.15503875968992248,0.29844961240310075,0.8798449612403101,0.4888798449612403,0.351
SF_ZM_BR,3,1.988544225692749,30.660163640975952,1.00000,0.92569,0.67717,0.41388,12.757225275039673,12.431915760040283,12.027002811431885,12.55708360671997,13.332003593444824,183.65060782432556,0.9069767441860465,0.15310077519379844,0.27906976744186046,0.872093023255814,0.48939147286821705,0.347
SF_ZM_BR,3,1.0842740535736084,34.83846616744995,1.00000,0.92899,0.67209,0.41237,12.927647829055786,12.603590726852417,11.975945949554443,12.933127641677856,12.808709859848022,184.38703846931458,0.9069767441860465,0.1821705426356589,0.32945736434108525,0.8875968992248062,0.49097674418604653,0.338
SF_ZM_BR,3,1.0059962272644043,31.190277338027954,1.00000,0.93646,0.68112,0.41723,13.157436847686768,12.005919933319092,12.764958143234253,12.843329668045044,12.795438289642334,184.1242868900299,0.9069767441860465,0.16279069767441862,0.29844961240310075,0.8914728682170543,0.4912248062015504,0.343
SF_ZM_BR,3,1.0730907917022705,30.303097009658813,1.00000,0.93247,0.68216,0.41616,12.225548028945923,11.847479820251465,11.802371501922607,12.27791142463684,12.701544761657715,173.0355246067047,0.9069767441860465,0.17635658914728683,0.32558139534883723,0.8837209302325582,0.48933333333333334,0.342
SF_ZM_BR,3,0.9890279769897461,29.698681831359863,1.00000,0.93802,0.67990,0.41440,12.326953172683716,12.151734352111816,12.18364143371582,12.349677562713623,12.594913959503174,178.34574151039124,0.9031007751937985,0.16279069767441862,0.29844961240310075,0.8604651162790697,0.49074418604651165,0.346
SF_ZM_BR_RT,4,2.0031120777130127,30.270981311798096,1.00000,0.93785,0.68407,0.42077,12.674736499786377,12.443736791610718,11.951097249984741,12.2355055809021,12.502084255218506,187.5521867275238,0.9069767441860465,0.14534883720930233,0.2751937984496124,0.875968992248062,0.4873643410852713,0.349
SF_ZM_BR_RT,4,1.201784372329712,29.908069849014282,0.99931,0.93594,0.68225,0.42271,12.983329772949219,12.85518193244934,12.180691957473755,12.598215341567993,12.174288988113403,178.31430554389954,0.9069767441860465,0.18023255813953487,0.32558139534883723,0.8914728682170543,0.4897170542635659,0.351
SF_ZM_BR_RT,4,1.2043430805206299,33.642640113830566,1.00000,0.93524,0.68437,0.42174,12.315451383590698,11.655844926834106,12.629251956939697,13.161174297332764,12.449383974075317,189.10535049438477,0.9031007751937985,0.16666666666666666,0.3062015503875969,0.8798449612403101,0.4888372093023256,0.362
SF_ZM_BR_RT,4,1.252394437789917,29.913413524627686,1.00000,0.94358,0.69045,0.42669,12.279074430465698,11.85782790184021,11.86802625656128,11.978776454925537,12.628686428070068,192.93299841880798,0.9031007751937985,0.16666666666666666,0.3062015503875969,0.872093023255814,0.4895232558139535,0.353
SF_ZM_BR_RT,4,1.3123321533203125,31.413541316986084,1.00000,0.93385,0.68655,0.42307,12.36767840385437,11.676855564117432,11.925700187683105,12.550629377365112,12.64783239364624,188.74156403541565,0.9069767441860465,0.14728682170542637,0.2751937984496124,0.872093023255814,0.48863565891472865,0.351
SF_ZM_BR_RT_NS,5,2.2197930812835693,31.586198091506958,1.00000,0.93455,0.68893,0.42791,12.179006099700928,11.82724380493164,11.843961715698242,11.6011323928833,12.81540822982788,187.58855891227722,0.8992248062015504,0.14534883720930233,0.2558139534883721,0.8837209302325582,0.48844961240310075,0.343
SF_ZM_BR_RT_NS,5,1.450439453125,30.84791660308838,0.99931,0.93715,0.68663,0.42728,12.333485841751099,11.866140604019165,11.742437839508057,12.628220558166504,12.34874415397644,182.50859022140503,0.9069767441860465,0.14728682170542637,0.26744186046511625,0.875968992248062,0.4915077519379845,0.357
SF_ZM_BR_RT_NS,5,1.4613523483276367,30.414340257644653,1.00000,0.94028,0.69362,0.43196,12.416645050048828,11.980350017547607,11.604893684387207,12.514286279678345,12.513916730880737,191.5994815826416,0.9069767441860465,0.16085271317829458,0.3023255813953488,0.8798449612403101,0.4907015503875969,0.354
SF_ZM_BR_RT_NS,5,1.4273712635040283,30.803083181381226,1.00000,0.93455,0.68906,0.42747,12.348780870437622,12.017902374267578,12.069520950317383,12.138592004776001,12.632697582244873,191.90698313713074,0.9031007751937985,0.16279069767441862,0.29069767441860467,0.8682170542635659,0.49115116279069765,0.36
SF_ZM_BR_RT_NS,5,1.4350252151489258,29.890724897384644,1.00000,0.94045,0.68646,0.42984,12.378859758377075,12.403897047042847,11.831756114959717,12.467634201049805,12.615001916885376,194.50909852981567,0.9069767441860465,0.15891472868217055,0.29069767441860467,0.8837209302325582,0.49123643410852713,0.358
SF_ZM_BR_RT_NS_BL,6,2.0879757404327393,31.293371438980103,1.00000,0.94844,0.69418,0.43205,12.374220609664917,12.346002101898193,11.796392917633057,12.409768104553223,12.904685020446777,187.0433542728424,0.9069767441860465,0.1511627906976744,0.27906976744186046,0.8798449612403101,0.48376356589147285,0.342
SF_ZM_BR_RT_NS_BL,6,1.7741212844848633,30.3508141040802,1.00000,0.93594,0.68963,0.43019,12.709968566894531,12.793833255767822,12.461507797241211,12.979095697402954,12.89588189125061,193.94220519065857,0.9069767441860465,0.1375968992248062,0.25193798449612403,0.8643410852713178,0.4826201550387597,0.358
SF_ZM_BR_RT_NS_BL,6,1.7867088317871094,31.863497257232666,1.00000,0.94271,0.69323,0.43510,12.422514200210571,12.44001817703247,12.914156913757324,12.766664266586304,12.364119052886963,189.29475808143616,0.9069767441860465,0.17054263565891473,0.31007751937984496,0.8643410852713178,0.48530232558139536,0.357
